Grapheme	IPA	Frequency	Languages	Examples
ìwⁿ	ì/i w̃	10	Bangime, Ben_Tey, Jamsay, Perge_Tegu, Togo_Kan, Toro_Tegu	nì-nìwⁿé, nì-nìwⁿɛ̌-m, nìwⁿá
ìì	ìì/iː	14	Bangime, Tommo_So	dìì_múgó_yàá, kwìì, kììndù
ìⁿ	ìⁿ/ĩ	9	Bangime, Jenaama, Togo_Kan	bììⁿ, bīìⁿ, nɔ̄_sìⁿ
ìⁿs	ìⁿ/ĩ s	2	Togo_Kan	ìⁿsìrⁿí, ìⁿsìrⁿí_sí:ⁿ
í	í/i	834	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bà:rí, bàlí-yà, bàndí-ŋgé
í:	í:/iː	96	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yorno_So	bà:rá_tí:, bìní:, bí:
í:y	í:/iː j	6	Bunoge, Jamsay, Mombo, Songhai_Kiini, Songhai_Senni	bí:yè, jìrbì_ʔí:yê, ní:yêy_yǎ:
í:yⁿí	í:/iː j̃ í/i	1	Ben_Tey	ní:yⁿí
í:yⁿɛ̀	í:/i j̃ ɛ̀/ɛ	1	Nanga	jí:yⁿɛ̀
í:ⁿ	í:ⁿ/ĩ	3	Togo_Kan	nùmɔ̀_í:ⁿ, ìⁿsìrⁿí_sí:ⁿ, í:ⁿ
íi	íi/iː	1	Bambara	míirù
íy	í/i j	27	Bambara, Bankan_Tey, Ben_Tey, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tiranige_Diga, Tommo_So, Toro_Tegu, Yanda_Dom	bíyé, cíyà, cíyè
íyá	í/i j á/a	3	Najamba, Songhai_Kiini, Tiranige_Diga	síyá-m, álíyá, ʔíyákù
íyáy$	í/i j á/ai	1	Ben_Tey	díyáy
íyáá	í/i j áá/aː	1	Tommo_So	àdúníyáá
íyí	í/i j í/i	1	Bankan_Tey	sásíyí
íyɔ́	í/i j ɔ́/ɔ	3	Tiranige_Diga	díyɔ́, síyɔ́wⁿ, tíyɔ́
íyɔ̂ⁿ	í/i j ɔ̂ⁿ/ɔ̃	1	Songhai_Kiini	kíyɔ̂ⁿ
íyɛ̀	í/i j ɛ̀/ɛ	1	Bunoge	tíyɛ̀
íyɛ́	í/i j ɛ́/ɛ	20	Bangime, Bankan_Tey, Ben_Tey, Najamba, Penange, Tebul_Ure, Tiranige_Diga, Tommo_So, Yanda_Dom	gìnɛ̀_tíyɛ́, gíyɛ́, kùŋ_gùlà-íyɛ́
íyɛ̄	í/i j ɛ̄/ɛ	2	Jenaama	bíyɛ̄wⁿ, píyɛ̄
íyⁿ	í/i j̃	7	Bankan_Tey, Ben_Tey, Perge_Tegu, Songhai_Kiini, Songhai_Senni	díyⁿà-m, díyⁿàw, díyⁿàwⁿ
íyⁿɔ̀	í/i j̃ ɔ̀/ɔ	1	Bankan_Tey	síyⁿɔ̀-yⁿ
íyⁿɛ̀	í/i j̃ ɛ̀/ɛ	1	Songhai_Kiini	míyⁿɛ̀
íyⁿɛ́	í/i j̃ ɛ́/ɛ	4	Bangime, Bankan_Tey, Nanga, Tommo_So	níyⁿɛ́, tíyⁿɛ́, ɡàʤíyⁿɛ́
íyⁿɛ̂	í/i j̃ ɛ̂/ɛ	1	Nanga	síyⁿɛ̂
íááⁿ	í/i ááⁿ/ãː	1	Tommo_So	píááⁿ-dɛ̀
íí	íí/iː	10	Bambara, Bangime, Jenaama, Songhai_Kiini, Tommo_So	díí, gɔ̀:ⁿ_kíí, híílā
ííy	íí/iː j	1	Bangime	kííyè
íɛ́	í/i ɛ́/ɛ	2	Tommo_So	pàdíɛ́, síɛ́
íⁿ	íⁿ/ĩ	11	Bambara, Bankan_Tey, Jenaama, Togo_Kan	gíríⁿ-máⁿ, jógíⁿ, míⁿ
î	î/i	46	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Toro_Tegu, Yorno_So	bànjî, bɛ́rî, déŋî
î:	î:/iː	37	Bankan_Tey, Ben_Tey, Mombo, Najamba, Nanga, Penange, Togo_Kan, Yorno_So	bònî:_bàn-ɛ́:, dù-wî:, dɛ̀ŋ-î:
î:ⁿ	î:ⁿ/ĩː	11	Bankan_Tey, Ben_Tey, Jamsay, Perge_Tegu	jɔ̀wⁿɔ̀_î:ⁿ, màtî:ⁿ, mòtî:ⁿ
ññ	ɲː	3	Songhai_Kiini	dìññôŋ, kúññɛ̀, záññɔ́:
ò	ò/o	450	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bà:kò, bànàŋkû:-ŋgò, bàryò
ò:	ò:/o	22	Ben_Tey, Jamsay, Mombo, Najamba, Nanga, Penange, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Yanda_Dom	dò:n, dò:ní, dò:nò
ò:s	ò:/o s	5	Ben_Tey, Nanga, Perge_Tegu, Songhai_Senni	kò:sò, lò:sí, lò:sú-m
ò:w	ò:/o w	1	Penange	tò:wà
ò:ⁿ	ò:ⁿ/õ	1	Mombo	mì:_búnjò:ⁿ_ándé
òs	ò/o s	6	Bankan_Tey, Perge_Tegu, Songhai_Senni, Toro_Tegu	bànàkùrù-wòsó, dòwⁿ_òsú, lòsù-rⁿu
òw	ò/o w	7	Songhai_Kiini, Songhai_Senni	bòryòw, dìnòw, dúŋgúrì-yòw
òwⁿ	ò/o w̃	4	Jenaama, Penange, Tiranige_Diga, Toro_Tegu	bòwⁿ, dòwⁿ_òsú, pòwⁿ
òò	òò/oː	6	Bangime, Penange, Tommo_So	bànú_gòò-ndó, jòòlú, kèwòò
ò̰	ò̰/o	1	Bambara	dò̰
òⁿ	òⁿ/õ	3	Jenaama	kòlòⁿ, tùwɔ̄_bùlòⁿ, yùgòⁿ
ó	ó/o	580	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bànàkùrù-wòsó, bànú_gòò-ndó, bá_músó
ó:	ó:/oː	57	Bankan_Tey, Bunoge, Jamsay, Mombo, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Yanda_Dom, Yorno_So	bógó:rò, dó:, dó:bú
ó:s	ó:/oː s	6	Ben_Tey, Nanga, Perge_Tegu, Songhai_Kiini, Songhai_Senni	bó:só, bó:sú, tó:sí
ó:w	ó:/oː w	3	Bunoge, Mombo, Tiranige_Diga	tó:wà, tó:wá
ó:ⁿ	ó:ⁿ/õː	2	Mombo, Tiranige_Diga	gó:ⁿ, kùnjùgà_kó:ⁿ_kúndá
ó:ⁿs	ó:ⁿ/õː s	1	Toro_Tegu	tó:ⁿsú
ós	ó/o s	6	Bankan_Tey, Ben_Tey, Nanga, Perge_Tegu, Toro_Tegu	àrⁿà_ósú, ósî, ósù
ósós	ó/o s ó/o s	1	Bankan_Tey	ósósô:
ów	ó/o w	5	Jamsay, Songhai_Kiini, Tiranige_Diga, Toro_Tegu	gówó, lów, sów
ówⁿ	ó/o w̃	2	Tiranige_Diga	bówⁿ, kówⁿ
óó	óó/oː	3	Tommo_So	póó, yóó
óⁿ	óⁿ/õ	5	Bambara, Jenaama	fárá_búlóⁿ, kólóⁿ_kálá, láⁿ-kólóⁿ
ô	ô/o	20	Bankan_Tey, Ben_Tey, Jamsay, Mombo, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Toro_Tegu, Yorno_So	bôy, dìññôŋ, fòndô
ô:	ô:/oː	14	Bankan_Tey, Ben_Tey, Najamba, Nanga, Songhai_Kiini, Songhai_Senni, Toro_Tegu	dô:n, gô:, gô:n
ô:ⁿ	ô:ⁿ/õː	2	Mombo	bô:ⁿ, jô:ⁿ
ôw	ô/o w	3	Bankan_Tey, Songhai_Kiini	kúsôw, tó_tôw, wôw
ù	ù/u	677	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bànàkùl_táná, bànàkùrù-wòsó, bànànkù_tímɛ́
ù:	ù:/uː	26	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Togo_Kan, Yorno_So	bànàkù:_bá:gá, bànàkù:_béré, dágù:
ù:s	ù:/uː s	2	Ben_Tey, Perge_Tegu	pù:sù_pà:sá
ù:ⁿ	ù:ⁿ/ũː	1	Mombo	báŋgù:ⁿ
ùs	ù/u s	29	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Najamba, Nanga, Perge_Tegu, Songhai_Senni, Toro_Tegu, Yorno_So	bùsù-mó, dùsú, dùsú-m
ùw	ù/u w	26	Bangime, Bankan_Tey, Ben_Tey, Jamsay, Jenaama, Songhai_Kiini, Songhai_Senni, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	dùwá_tí, dùwó, dùwōⁿ
ùwⁿ	ù/u w̃	13	Bangime, Ben_Tey, Jamsay, Perge_Tegu	jì_jùwⁿó, kùwⁿɛ̀ɛ̀, nùwⁿò_šî:ⁿ
ùù	ùù/uː	3	Bangime, Jenaama	bànàŋ̀kùù, tùùmìⁿ, wùùtīnā
ùⁿ	ùⁿ/ũ	7	Bambara, Bangime, Jenaama, Togo_Kan	kùùⁿ, kùⁿ, kùⁿ_kɛ́nɛ́
ú	ú/u	1010	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàdú, bànàŋkú, bànàⁿkú
ú:	ú:/uː	45	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bànáŋkú:, bú:, bú:dù
ú:yí	ú:/uː j í/i	2	Ben_Tey, Nanga	ú:yí
ú:ⁿ	ú:ⁿ/ũː	4	Jamsay, Perge_Tegu, Tebul_Ure	bàrⁿàkú:ⁿ, sùrⁿó_sú:ⁿ, tɛ̀mɛ̀_kú:ⁿ
úy	ú/u j	12	Ben_Tey, Bunoge, Mombo, Penange, Songhai_Kiini, Tommo_So, Yorno_So	dúy-yɛ̀, gúyé, kúy
úyú	ú/u j ú/u	1	Bangime	múyúmɛ̀
úyɔ́	ú/u j ɔ́/ɔ	4	Ben_Tey, Tommo_So	núyɔ́, súyɔ́
úyɛ́	ú/u j ɛ́/ɛ	1	Bangime	búyɛ́
úyɛ̂	ú/u j ɛ̂/ɛ	1	Nanga	súyɛ̂
úyⁿ	ú/u j̃	3	Mombo, Nanga, Toro_Tegu	gúyⁿó_gǔyⁿ, núyⁿ, núyⁿà
úyⁿɔ̀	ú/u j̃ ɔ̀/ɔ	1	Ben_Tey	súyⁿɔ̀-yⁿ
úú	úú/uː	5	Bambara, Bangime, Jenaama, Tommo_So	dúúrú, kúú, púújī
úúⁿ	úúⁿ/ũː	2	Bangime	kúúⁿ
úⁿ	úⁿ/ũ	10	Bambara, Bangime, Ben_Tey, Togo_Kan	cúⁿ, dúⁿ, fɔ́ⁿkúⁿ
û	û/u	22	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Toro_Tegu, Yanda_Dom, Yorno_So	bánáŋkû, gìrè_mpûl, gìrè_nûm
û:	û:/uː	20	Bankan_Tey, Ben_Tey, Najamba, Nanga, Yorno_So	bànàŋkû:-ŋgò, bú_bùjû:, gèndè_kû:
û:ⁿ	û:ⁿ/ũː	2	Jamsay, Mombo	bànàkû:ⁿ, bálákû:ⁿ
ý	ý/y	7	Tommo_So, Yorno_So	gì_gìyè_tànnàà-ý, gìrì_ý, kòbìlì-ý
ýs	ý/y s	1	Songhai_Kiini	kàmbɛ̀_ýsè
ýⁿ	ýⁿ/ỹ	2	Yorno_So	dùmì-ýⁿ, dùmɲì-ýⁿ
ā	ā/a	50	Bangime, Jenaama	bààhú-mā, bā, dámbā
āw	ā/a w	1	Bangime	yāwɔ̀
āwⁿ	ā/a	4	Bangime, Jenaama	kíbāwⁿ, kāwⁿɔ̀, sàmùnāwⁿ
āā	āā/aː	5	Bangime, Jenaama	bāā_sɔ̀wⁿ, kāā, sāājū
āⁿ	āⁿ/ã	5	Jenaama	dāāⁿ, nùmà-sāⁿ, pàgùnāⁿ
ē	ē/e	21	Bangime, Jenaama	bē, dē, dēbē
ēwⁿ	ē/e w̃	4	Jenaama	bànjēwⁿ, mbēwⁿ, pùlēwⁿ
ě	ě/e	34	Bankan_Tey, Ben_Tey, Jamsay, Mombo, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Togo_Kan, Toro_Tegu, Yanda_Dom	bàr_měyⁿ, bě, dě-n
ě:	ě:/eː	9	Jamsay, Mombo, Nanga, Tebul_Ure, Tiranige_Diga, Togo_Kan	dùmbě:, dě:, gà:wⁿě:
ī	ī/i	46	Bangime, Jenaama	bīlà, bīrè, bīìⁿ
īw	ī/i w	1	Bangime	tīwɔ̀
īī	īī/iː	5	Bangime, Jenaama	kwīī_sɔ̄ẁⁿ, mīīlà, pīīrī
īⁿ	īⁿ/ĩ	2	Jenaama	jīⁿ, pīⁿ
ń	ń/n̩	10	Bangime, Mombo, Nanga, Tebul_Ure, Tommo_So, Yanda_Dom	dà:nà_ńkálúmá, kɛ́rɛ́ń_dɛ́kɛ̀, ńdì
ŋ	ŋ	485	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Fulfulde, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàndí-ŋgé, bànàŋkú, bànàŋkû:-ŋgò
ŋw	ŋ w	4	Najamba	ŋwànǎ:, ŋwǎn, ŋwɛ́
ŋwⁿ	ŋ w̃	1	Bangime	tɔ̀ŋwⁿɛ̀ɛ̀
ŋŋ	ŋː	7	Bangime, Bankan_Tey, Ben_Tey, Fulfulde, Jamsay, Najamba, Tiranige_Diga	kaŋŋe, kàŋŋɛ̀, kàŋŋɛ́
ŋ̀	ŋ̀/ŋ̍	5	Bangime, Bankan_Tey, Najamba, Penange, Togo_Kan	bànàŋ̀kùù, páŋ̀, ŋ̀gwɛ̌:
ŋ́	ŋ́/ŋ̍	1	Toro_Tegu	dɔ̀ymú-dà-ŋ́
ŋ̄	ŋ̄/ŋ̍	2	Bangime	nìī-ŋ̄-kūwⁿɛ̀ɛ̀, ɥìyɛ̄ŋ̄_kò_ŋáwⁿ
ō	ō/o	30	Bangime, Jenaama	būrōŋ, dēmō, dō
ōwⁿ	ō/o w̃	1	Jenaama	tíyōwⁿ
ōⁿ	ōⁿ/õ	7	Jenaama	būwōⁿ, dùwōⁿ, kābōⁿ
š	ʃ	4	Perge_Tegu	nùwⁿò_šî:ⁿ, ìšú, šì:ná
ū	ū/u	41	Bangime, Jenaama	būrōŋ, būwōⁿ, būwɔ̀
ūyɛ̀	ū/u j ɛ̀/ɛ 	1	Bangime	kūyɛ̀
ūyⁿɛ̀	ū/u j̃ ɛ̀/ɛ	1	Bangime	pūyⁿɛ̀
ūⁿ	ūⁿ/ũ	3	Jenaama	kāmūⁿ, sībē-nūⁿ, sūⁿ
ǎ	ǎ/a	75	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bàndǎy, bànǎyⁿ, bú:sǎ-m
ǎ:	ǎ:/aː	92	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Togo_Kan, Yanda_Dom, Yorno_So	bèmbǎ:, bèyǎ:, bǎ:
ǎ:ⁿ	ǎ:ⁿ/ãː	3	Jamsay, Yorno_So	jǎ:ⁿ, tǎ:ⁿ, àŋgǎ:ⁿ
ǎw	ǎ/a w	6	Bankan_Tey, Nanga, Tiranige_Diga, Toro_Tegu, Yanda_Dom	dǎw-rí, gǎw, kǎwrì-káŋ
ǎ̰	ǎ/a	1	Bambara	sísǎ̰
ǐ	ǐ/i	18	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Songhai_Kiini, Tebul_Ure, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bìrǐ-y, bòrkǐn, bǐl
ǐ:	ǐ:/iː	20	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Togo_Kan, Yorno_So	dǐ:, jìjǐ:, jǐ:rì
ǐ:ⁿ	ǐ:ⁿ/ĩː	4	Jamsay, Togo_Kan, Yanda_Dom, Yorno_So	dǐ:ⁿ, gǐ:ⁿ, sǐ:ⁿ
ǐw	ǐ/i w	1	Toro_Tegu	bǐw
ǐⁿ	ǐ/i 	3	Togo_Kan	dǐⁿ, tǐⁿ
ǒ	ǒ/o	27	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Tebul_Ure, Togo_Kan, Tommo_So, Toro_Tegu, Yorno_So	bóngó_bǒn, dǒ-m, dǒm
ǒ:	ǒ:/oː	35	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Togo_Kan, Toro_Tegu, Yorno_So	bǒ:nɔ́, dòdǒ:, dùdǒ:
ǒy	ǒ/o j	5	Bankan_Tey, Najamba, Nanga, Perge_Tegu	gòrǒy, jǒy, lǒy
ǒyⁿ	ǒ/o j̃	1	Toro_Tegu	nǒyⁿ
ǔ	ǔ/u	25	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Najamba, Nanga, Perge_Tegu, Tebul_Ure, Toro_Tegu, Yanda_Dom, Yorno_So	dǔ, dǔm, gàrǔ-m
ǔ:	ǔ:/uː	8	Bankan_Tey, Jamsay, Nanga, Songhai_Kiini, Tebul_Ure, Toro_Tegu, Yorno_So	bǔ:jù_bà:jù, dǔ:yí, mbǔ:
ǔ:ⁿ	ǔ:ⁿ/ũː	1	Ben_Tey	sǔ:ⁿ_súⁿ
ǔw	ǔ/u w	1	Toro_Tegu	lǔw
ǔⁿ	ǔⁿ/ũ	2	Togo_Kan	tǔⁿ_ájìrì, yà:tǔⁿ
ǹ	ǹ/n̩	20	Bankan_Tey, Najamba, Nanga, Tebul_Ure, Tommo_So	ǹdò_sìgí, ǹdò_tùndí, ǹdòsú-m
ǹs	ǹ/n̩ s	1	Jenaama	ǹsīnì
ɓ	ɓ	13	Fulfulde	boɓoori, haɓu-de, heɓu-de
ɓɓ	ɓː	5	Fulfulde	boɓɓaa-de, deɓɓo, haɓɓu-de
ɔ	ɔ	3	Bambara, Toro_Tegu	gɔŋ, tɔɡɔ
ɔ̀	ɔ̀/ɔ	401	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Songhai_Senni, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bìrɔ̀_ndɔ́ⁿ, bāā_sɔ̀wⁿ, būwɔ̀
ɔ̀:	ɔ̀:/ɔː	35	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Songhai_Kiini, Tiranige_Diga, Togo_Kan, Yanda_Dom	bàndà_kɔ̀:rɔ̌y, dúlɔ̀:, dɔ̀:wê:
ɔ̀:ⁿ	ɔ̀:ⁿ/ɔ̃ː	2	Penange, Songhai_Kiini	gɔ̀:ⁿ, gɔ̀:ⁿ_kíí
ɔ̀y	ɔ̀/ɔ j	7	Bangime, Najamba, Toro_Tegu, Yorno_So	dɔ̀ymú-dà-ŋ́, kɛ̀:sǔm_má_pɔ̌:nɔ̀y, pɔ̌:nɔ̀y
ɔ̀yɔ́	ɔ̀/ɔ j ɔ́/ɔ	2	Jamsay, Perge_Tegu	ɔ̀yɔ́
ɔ̀yɔ̌:ⁿ	ɔ̀/ɔ j ɔ̌:ⁿ/ɔ̃ː	1	Yorno_So	ɔ̀gɔ̀yɔ̌:ⁿ
ɔ̀yⁿ	ɔ̀/ɔ j̃	7	Bankan_Tey, Ben_Tey, Nanga, Yorno_So	dɔ̀yⁿ_ɔ̌yⁿ, kɔ̀rⁿɔ̀ŋɔ̀yⁿ_dàrgá, núwⁿɔ̀yⁿ
ɔ̀yⁿɔ́	ɔ̀/ɔ j̃ ɔ́/ɔ	2	Jamsay, Perge_Tegu	dɔ̀yⁿɔ́
ɔ̀yⁿɛ̀	ɔ̀/ɔ j̃ ɛ̀/ɛ	1	Yanda_Dom	dɔ̀yⁿɛ̀
ɔ̀yⁿɛ́	ɔ̀/ɔ j̃ ɛ́/ɛ	1	Togo_Kan	dɔ̀yⁿɛ́
ɔ̀ɔ̀	ɔ̀ɔ̀/ɔː	3	Jenaama, Tommo_So	kɔ̀ɔ̀gɔ̀wⁿ, kɔ̀ɔ̀mɔ́, sùgū_kɔ̀ɔ̀njɛ́wⁿ
ɔ̀ɔ́	ɔ̀ɔ́/ɔː	2	Tommo_So	dɔ̀ɔ́, sɔ̀ɔ́_sɔ́ɔ́
ɔ̀ɛ́	ɔ̀/ɔ ɛ́/ɛ	1	Tebul_Ure	dɔ̀ɛ́
ɔ̀ɛ̌:	ɔ̀/ɔ ɛ̌:/ɛː	1	Tebul_Ure	gɔ̀ɛ̌:
ɔ̀ⁿ	ɔ̀ⁿ/ɔ̃	8	Bambara, Jenaama, Najamba, Togo_Kan	dɔ̀ⁿ_kílí, jɔ̀ⁿtúrú, kɔ̀nɔ̀ⁿtɔ́ⁿ
ɔ́	ɔ́/ɔ	481	Bambara, Bangime, Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Jenaama, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Tommo_So, Toro_Tegu, Yanda_Dom, Yorno_So	bǒ:nɔ́, bɔ̀dɔ́, bɔ̀jɔ́
ɔ́:	ɔ́:/ɔː	68	Bankan_Tey, Ben_Tey, Bunoge, Jamsay, Mombo, Najamba, Nanga, Penange, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Tiranige_Diga, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	bìndù_gìndɔ́:, bírɔ́:, dɔ́:bè
ɔ́:y	ɔ́:/ɔː j	1	Tiranige_Diga	sɔ́:y
ɔ́:ⁿ	ɔ́:ⁿ/ɔ̃ː	2	Ben_Tey, Togo_Kan	kɔ́:ⁿ
ɔ́y	ɔ́/ɔ j	6	Bangime, Songhai_Kiini, Togo_Kan, Tommo_So	kɔ́yrɛ́, lɔ́y, pɛ̌lɔ́y
ɔ́yɛ́	ɔ́/ɔ j ɛ́/ɛ	2	Mombo, Najamba	wɔ́yɛ́, ɔ́yɛ́
ɔ́yⁿ	ɔ́/ɔ j̃	3	Tebul_Ure, Toro_Tegu, Yanda_Dom	ɔ́yⁿ
ɔ́yⁿɔ́	ɔ́/ɔ j̃ ɔ́/ɔ	4	Bankan_Tey, Ben_Tey, Nanga, Yanda_Dom	ɔ́yⁿɔ́
ɔ́ɔ̀	ɔ́ɔ̀/ɔː	1	Tommo_So	ɔ́ɔ̀lɔ̀
ɔ́ɔ́	ɔ́ɔ́/ɔː	7	Bambara, Bangime, Tommo_So	nɔ́ɔ́, nɔ́ɔ́-ndɛ́, nɔ̌y_nɔ́ɔ́
ɔ́ɛ́	ɔ́/ɔ ɛ́/ɛ	1	Tommo_So	kɔ́ɛ́
ɔ́ɛ́ⁿ	ɔ́/ɔ ɛ́ⁿ/ɛ̃	1	Tommo_So	kɛ̀ɲɲɛ́_ɔ́ɛ́ⁿ
ɔ́ⁿ	ɔ́ⁿ/ɔ̃	11	Bambara, Bangime, Jenaama, Togo_Kan, Toro_Tegu	bìrɔ̀_ndɔ́ⁿ, bɔ́ⁿ, dɔ́ⁿ
ɔ̂	ɔ̂/ɔ	14	Bankan_Tey, Ben_Tey, Nanga, Perge_Tegu, Yorno_So	dɔ̂n, lɔ̀gɔ̂, lɔ̀sɔ̂
ɔ̂:	ɔ̂:/ɔː	8	Bankan_Tey, Ben_Tey, Mombo, Najamba, Nanga, Togo_Kan	gɔ̀mɔ̂:, kɔ̀mɔ̂:, lɔ̀sɔ̂:
ɔ̂:ⁿ	ɔ̂:ⁿ/ɔ̃ː	1	Mombo	gɔ̂:ⁿ
ɔ̂y	ɔ̂/ɔ j	1	Yorno_So	sɔ̂y
ɔ̄	ɔ̄/ɔ	37	Bangime, Jenaama	bɔ̄ɡɔ̀, cɔ̄bì, cɔ̄llɔ̀
ɔ̄ɔ̄	ɔ̄ɔ̄/ɔː	3	Bangime, Jenaama	hɔ̄ɔ̄rɔ̀, hɔ̄ɔ̄rɔ̄wⁿ, pɔ̄ɔ̄-kɛ̀
ɔ̄ⁿ	ɔ̄ⁿ/ɔ̃	1	Jenaama	tùwɔ̄-kɔ̄lɔ̄ⁿ
ɔ̌	ɔ̌/ɔ	21	Bankan_Tey, Ben_Tey, Jamsay, Perge_Tegu, Tebul_Ure, Togo_Kan, Toro_Tegu, Yanda_Dom, Yorno_So	dɔ̌, dɔ̌n, gùlɔ̌-m
ɔ̌:	ɔ̌:/ɔː	37	Bankan_Tey, Ben_Tey, Jamsay, Najamba, Nanga, Perge_Tegu, Songhai_Kiini, Tebul_Ure, Togo_Kan, Yorno_So	bɔ̌:, dɔ̌:, gìrè_nɔ̌:
ɔ̌:ⁿ	ɔ̌:ⁿ/ɔ̃ː	2	Perge_Tegu, Yorno_So	gɔ̌:ⁿ, mɔ̌:ⁿ
ɔ̌y	ɔ̌/ɔ j	6	Bankan_Tey, Jamsay, Mombo, Tommo_So	bàndà_kɔ̀:rɔ̌y, bày_sɔ̌y, dɔ̌y
ɔ̌yⁿ	ɔ̌/ɔ j̃	8	Bankan_Tey, Ben_Tey, Jamsay, Nanga, Perge_Tegu, Togo_Kan, Yorno_So	dɔ̀yⁿ_ɔ̌yⁿ, dɔ̌yⁿ, gɔ̌yⁿ
ɔ̌ⁿ	ɔ̌ⁿ/ɔ̃	1	Togo_Kan	sɔ̌ⁿ
